age,food.T
20-30歲,NA
20-30歲,5
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,5
20-30歲,4
20-30歲,4
20-30歲,4
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,5
40-50歲,NA
20-30歲,NA
20-30歲,4
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,4
20-30歲,NA
20歲以下,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,5
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,2
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,4
20-30歲,NA
20-30歲,NA
20-30歲,4
30-40歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
